Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Bairro 763,11038,8,1392,113
Bairro 764,6887,6,528,66
Bairro 765,36546,2,793,139
Bairro 766,35387,4,2092,70
Bairro 767,21177,2,2029,58
Bairro 768,33093,3,1951,39
Bairro 769,29729,6,599,74
Bairro 770,38962,10,2181,122
Bairro 771,15630,3,1216,126
Bairro 772,56929,10,1719,102
Bairro 773,9481,2,605,33
Bairro 774,45873,7,576,83
Bairro 775,38914,9,1750,28
Bairro 776,8994,5,2517,41
Bairro 777,46612,8,815,20
Bairro 778,25084,10,643,49
Bairro 779,44772,8,812,118
Bairro 780,32516,1,1265,76
Bairro 781,7380,1,2473,55
Bairro 782,39687,9,1926,54
Bairro 783,31562,2,1180,94
Bairro 784,10622,6,1165,105
Bairro 785,34370,2,1853,119
Bairro 786,47356,1,2382,64
Bairro 787,23367,10,1027,39
Bairro 788,30378,8,2242,23
Bairro 789,40738,3,2800,137
Bairro 790,22246,8,2162,64
Bairro 791,35574,5,1214,116
Bairro 792,18174,5,2112,102
Bairro 793,17343,3,998,79
Bairro 794,31428,1,1448,47
Bairro 795,11628,8,2296,38
Bairro 796,8695,6,2662,127
Bairro 797,25688,6,2201,113
Bairro 798,14953,5,2536,105
Bairro 799,40020,3,2273,76
Bairro 800,17331,10,1116,29
Bairro 801,19425,3,1079,61
Bairro 802,8546,4,1781,65
Bairro 803,32499,4,1316,117
Bairro 804,41406,4,2233,83
Bairro 805,19420,9,2476,40
Bairro 806,42798,3,1787,140
Bairro 807,21553,5,716,34
Bairro 808,15413,1,1669,26
Bairro 809,13747,3,1591,76
Bairro 810,29184,5,1123,41
Bairro 811,41143,2,1705,86
Bairro 812,4451,8,2271,21
Bairro 813,46734,10,1824,136
Bairro 814,25382,3,945,116
Bairro 815,5707,4,1926,130
Bairro 816,54245,9,2255,96
Bairro 817,9908,10,2092,97
Bairro 818,21197,10,670,131
Bairro 819,58065,4,1587,59
Bairro 820,55433,10,1043,77
Bairro 821,45150,2,1171,93
Bairro 822,16312,7,2133,24
Bairro 823,38525,10,1348,70
Bairro 824,8037,9,1289,32
Bairro 825,13907,2,1708,105
Bairro 826,20882,1,1658,39
Bairro 827,31818,3,992,34
Bairro 828,32836,1,1692,45
Bairro 829,20132,6,2838,41
Bairro 830,43753,2,751,126
Bairro 831,22200,8,794,95
Bairro 832,14714,4,2883,131
Bairro 833,53817,1,2169,85
Bairro 834,16388,3,1418,133
Bairro 835,31572,2,537,143
Bairro 836,8630,5,1275,24
Bairro 837,30986,1,1058,92
Bairro 838,18916,1,2422,78
Bairro 839,55152,1,2022,105
Bairro 840,28022,3,2960,40
Bairro 841,55553,2,1417,51
Bairro 842,32562,3,2318,89
Bairro 843,39609,4,2294,121
Bairro 844,20740,3,911,29
Bairro 845,16082,10,748,38
Bairro 846,15267,1,843,104
Bairro 847,47061,9,1716,104
Bairro 848,25822,3,2006,21
Bairro 849,35262,7,1790,91
Bairro 850,21853,8,2705,97
Bairro 851,7898,5,784,110
Bairro 852,19376,4,2618,139
Bairro 853,7015,7,2832,105
Bairro 854,7691,10,595,79
Bairro 855,44445,2,597,64
Bairro 856,37914,3,2679,145
Bairro 857,12533,10,1109,54
Bairro 858,16257,4,1766,37
Bairro 859,52227,3,2657,87
Bairro 860,55291,9,1420,114
Bairro 861,33809,5,2451,42
Bairro 862,22977,6,1856,50
Bairro 863,45092,2,998,82
Bairro 864,43514,9,2738,75
Bairro 865,52491,4,1657,131
Bairro 866,12443,2,501,65
Bairro 867,5963,1,1526,32
Bairro 868,23233,10,1739,63
Bairro 869,13686,7,1190,93
Bairro 870,4668,5,2468,98
Bairro 871,41030,2,881,72
Bairro 872,6903,10,1614,86
Bairro 873,46621,6,1641,62
Bairro 874,28968,2,1832,45
Bairro 875,42919,4,1360,53
Bairro 876,49181,1,2734,126
Bairro 877,23392,2,2389,59
Bairro 878,26739,4,2800,107
Bairro 879,14117,7,557,53
Bairro 880,37532,2,2230,33
Bairro 881,45250,5,1248,26
Bairro 882,35783,5,1594,64
Bairro 883,48343,10,2449,27
Bairro 884,28896,2,2117,131
Bairro 885,46449,2,2608,36
Bairro 886,19016,1,1737,143
Bairro 887,23640,4,1954,76
Bairro 888,56314,9,526,116
Bairro 889,56984,7,2180,102
Bairro 890,35019,4,1272,31
Bairro 891,31464,8,2823,42
Bairro 892,5354,10,1185,114
Bairro 893,39995,1,1913,100
Bairro 894,12822,1,2183,129
Bairro 895,55498,3,587,82
Bairro 896,15584,6,2216,29
Bairro 897,52786,7,2342,63
Bairro 898,35875,10,1127,134
Bairro 899,24102,10,994,59
Bairro 900,58693,3,1837,31
Bairro 901,43136,4,1588,28
Bairro 902,34434,5,2175,108
Bairro 903,47603,1,1903,121
Bairro 904,51599,10,2027,50
Bairro 905,42567,2,546,117
Bairro 906,39138,6,835,126
Bairro 907,10169,10,1813,39
Bairro 908,13274,6,1672,98
Bairro 909,54874,7,1968,115
Bairro 910,41374,6,586,54
Bairro 911,49898,5,1976,107
Bairro 912,48499,2,2321,56
Bairro 913,58360,5,2008,112
Bairro 914,57936,1,1854,146
Bairro 915,34888,7,2482,35
Bairro 916,48541,2,1175,80
Bairro 917,49552,10,2932,50
Bairro 918,12260,4,2964,117
Bairro 919,35276,3,2916,47
Bairro 920,51786,4,2790,146
Bairro 921,35313,4,2871,24
Bairro 922,55012,4,1100,91
Bairro 923,28310,9,2437,64
Bairro 924,45260,1,1954,36
Bairro 925,34486,3,2296,37
Bairro 926,55253,9,574,119
Bairro 927,27488,3,1610,134
Bairro 928,55839,7,2216,68
Bairro 929,57301,8,1328,20
Bairro 930,45096,1,2418,27
Bairro 931,13500,3,2847,90
Bairro 932,15791,5,2620,91
Bairro 933,15724,9,1108,58
