Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Bairro 2184,4668,2,1879,91
Bairro 2185,11403,3,2788,23
Bairro 2186,20103,4,519,145
Bairro 2187,47575,7,2688,129
Bairro 2188,25888,8,1845,72
Bairro 2189,32097,4,1153,138
Bairro 2190,29992,2,1010,37
Bairro 2191,50754,7,1417,82
Bairro 2192,9582,3,1917,100
Bairro 2193,17483,9,1954,88
Bairro 2194,11165,7,2504,113
Bairro 2195,18127,7,735,97
Bairro 2196,37331,4,1917,68
Bairro 2197,53415,2,2578,40
Bairro 2198,37556,10,1338,102
Bairro 2199,16675,1,1896,123
Bairro 2200,45490,8,1668,140
Bairro 2201,20786,5,1938,112
Bairro 2202,29694,10,1048,40
Bairro 2203,18100,5,2746,62
Bairro 2204,10424,2,2623,111
Bairro 2205,49967,1,2348,126
Bairro 2206,53383,7,1858,67
Bairro 2207,4732,7,634,78
Bairro 2208,16993,7,2538,59
Bairro 2209,45433,1,1718,103
Bairro 2210,38891,6,2853,36
Bairro 2211,34800,7,1302,103
Bairro 2212,57468,3,1715,116
Bairro 2213,44744,3,1959,77
Bairro 2214,51713,2,783,60
Bairro 2215,31366,8,1352,140
Bairro 2216,53262,1,1439,34
Bairro 2217,36043,8,2405,127
Bairro 2218,41398,10,1357,97
Bairro 2219,18137,5,1732,89
Bairro 2220,53529,1,1186,79
Bairro 2221,5708,6,905,35
Bairro 2222,31360,2,707,55
Bairro 2223,38996,7,1797,119
Bairro 2224,26357,8,626,58
Bairro 2225,4846,7,828,118
Bairro 2226,6768,4,2602,22
Bairro 2227,54477,5,2831,51
Bairro 2228,32914,8,1880,90
Bairro 2229,32054,1,734,108
Bairro 2230,40427,4,1675,64
Bairro 2231,39642,9,2176,139
Bairro 2232,36070,2,1643,108
Bairro 2233,6297,2,2233,120
Bairro 2234,49987,10,2830,135
Bairro 2235,42128,4,1323,28
Bairro 2236,28562,1,690,117
Bairro 2237,45332,9,2181,111
Bairro 2238,56141,3,2280,98
Bairro 2239,5740,6,2360,83
Bairro 2240,55508,5,1088,104
Bairro 2241,55624,6,1908,60
Bairro 2242,57046,10,968,44
Bairro 2243,14601,7,546,23
Bairro 2244,52513,2,2027,108
Bairro 2245,8126,1,2453,104
Bairro 2246,22965,9,782,145
Bairro 2247,50097,8,2973,89
Bairro 2248,45685,2,1733,40
Bairro 2249,4262,8,2783,40
Bairro 2250,35159,9,521,117
Bairro 2251,32854,2,1955,114
Bairro 2252,22276,7,2064,24
Bairro 2253,5259,8,2351,21
Bairro 2254,19941,10,1347,48
Bairro 2255,21969,4,940,104
Bairro 2256,48045,4,2969,107
Bairro 2257,23929,9,849,28
Bairro 2258,22736,1,660,63
Bairro 2259,58823,5,771,97
Bairro 2260,34600,6,1400,47
Bairro 2261,14836,4,1752,140
Bairro 2262,38170,5,2439,22
Bairro 2263,40427,8,878,29
Bairro 2264,26806,10,596,75
Bairro 2265,22218,9,1866,106
Bairro 2266,11438,7,2422,121
Bairro 2267,55117,1,2959,41
Bairro 2268,45421,1,2598,60
Bairro 2269,52508,4,2872,141
Bairro 2270,24143,6,1782,34
Bairro 2271,44894,3,2164,135
Bairro 2272,6307,1,2122,106
Bairro 2273,8564,10,973,68
Bairro 2274,54217,3,2262,44
Bairro 2275,40977,10,2916,86
Bairro 2276,57729,8,1045,36
Bairro 2277,10043,8,715,145
Bairro 2278,20091,10,2715,143
Bairro 2279,43520,7,1853,72
Bairro 2280,37631,9,1273,47
Bairro 2281,13404,2,727,84
Bairro 2282,44220,3,1957,59
Bairro 2283,7428,2,2482,148
Bairro 2284,50117,8,1350,97
Bairro 2285,8997,3,825,100
Bairro 2286,49302,5,1440,23
Bairro 2287,16891,3,2924,65
Bairro 2288,13809,7,2706,144
Bairro 2289,32764,4,1984,59
Bairro 2290,46011,2,2674,79
Bairro 2291,44967,9,2905,42
Bairro 2292,18360,5,1138,40
Bairro 2293,9080,4,2928,72
Bairro 2294,13282,10,1394,106
Bairro 2295,46849,3,1861,86
Bairro 2296,7002,5,2617,21
Bairro 2297,21402,9,2382,141
Bairro 2298,38095,2,903,128
Bairro 2299,33242,7,1848,64
Bairro 2300,56241,8,654,127
Bairro 2301,27148,7,2894,107
Bairro 2302,26436,10,956,30
Bairro 2303,57733,7,581,108
Bairro 2304,47407,4,1114,144
Bairro 2305,6850,10,1581,147
Bairro 2306,48586,7,2645,43
Bairro 2307,31804,9,2178,97
Bairro 2308,14694,10,2942,48
Bairro 2309,38659,2,1038,87
Bairro 2310,16386,5,2704,47
Bairro 2311,23711,8,2224,42
Bairro 2312,40849,3,655,60
Bairro 2313,56433,3,1129,135
Bairro 2314,56689,3,2523,36
Bairro 2315,5962,6,2938,105
Bairro 2316,5128,5,2348,116
Bairro 2317,22066,10,1022,41
Bairro 2318,36136,9,1638,41
Bairro 2319,33732,6,2848,99
Bairro 2320,27058,6,1089,122
Bairro 2321,47253,6,2321,95
Bairro 2322,35422,1,1971,46
Bairro 2323,40796,10,1727,70
Bairro 2324,32432,3,2988,63
Bairro 2325,39224,9,817,40
Bairro 2326,32644,10,2027,112
Bairro 2327,28487,9,2965,74
Bairro 2328,8212,10,1167,91
Bairro 2329,35760,6,2627,26
Bairro 2330,35597,9,2842,133
Bairro 2331,18548,4,2428,140
Bairro 2332,50655,6,2360,118
Bairro 2333,6148,2,2049,20
Bairro 2334,4855,6,1641,45
Bairro 2335,48047,3,1731,37
Bairro 2336,57386,7,540,119
Bairro 2337,40917,2,2240,89
Bairro 2338,33286,2,1037,108
Bairro 2339,37224,9,805,108
Bairro 2340,36154,7,2730,136
Bairro 2341,38555,1,2786,104
Bairro 2342,42656,10,2207,37
Bairro 2343,59285,2,2322,107
Bairro 2344,52825,2,1833,28
Bairro 2345,41949,9,2369,118
Bairro 2346,58849,1,786,27
Bairro 2347,8819,7,2876,78
Bairro 2348,40293,5,847,67
Bairro 2349,55579,6,2593,78
Bairro 2350,36529,10,2739,125
Bairro 2351,49604,10,651,105
Bairro 2352,48349,2,961,139
Bairro 2353,26788,4,2165,70
Bairro 2354,11444,6,1597,51
Bairro 2355,36168,1,2648,115
Bairro 2356,37057,10,1709,52
Bairro 2357,59151,8,2203,73
Bairro 2358,47539,1,1498,35
Bairro 2359,34348,2,2054,62
Bairro 2360,59344,2,501,134
Bairro 2361,27021,8,1140,72
Bairro 2362,54679,10,2207,77
Bairro 2363,46068,3,1482,81
Bairro 2364,57870,8,1975,115
Bairro 2365,34561,6,1104,137
Bairro 2366,54084,9,2200,49
Bairro 2367,19550,4,1612,107
Bairro 2368,49179,2,886,56
Bairro 2369,39403,9,1538,22
Bairro 2370,15449,9,2768,126
Bairro 2371,54563,7,1032,62
Bairro 2372,7293,1,685,43
Bairro 2373,46183,2,729,44
Bairro 2374,55947,3,1956,74
Bairro 2375,4997,8,2223,80
Bairro 2376,41604,6,695,143
Bairro 2377,5997,3,1288,52
Bairro 2378,54373,9,1043,70
Bairro 2379,13232,2,1349,69
Bairro 2380,18737,10,2309,20
Bairro 2381,6223,8,2231,41
Bairro 2382,36675,4,809,106
Bairro 2383,4346,2,700,73
Bairro 2384,40774,2,2806,40
Bairro 2385,46772,5,1283,45
Bairro 2386,33732,8,1671,149
Bairro 2387,40670,1,717,137
Bairro 2388,39651,9,2991,145
Bairro 2389,34421,5,2759,70
Bairro 2390,32320,2,2030,46
Bairro 2391,37569,4,2938,56
Bairro 2392,37160,10,637,142
Bairro 2393,12293,1,2258,69
Bairro 2394,5750,9,2805,115
Bairro 2395,29954,8,2459,55
Bairro 2396,8088,4,669,37
Bairro 2397,49211,10,2113,134
Bairro 2398,56536,5,2602,113
Bairro 2399,46484,7,2094,31
Bairro 2400,22258,10,1283,44
Bairro 2401,21738,3,1828,147
Bairro 2402,50617,1,1376,48
Bairro 2403,7321,4,686,124
Bairro 2404,13823,4,613,51
Bairro 2405,43649,10,575,139
Bairro 2406,33937,10,1632,111
Bairro 2407,45251,3,2291,71
Bairro 2408,52649,4,1449,148
Bairro 2409,34349,1,676,145
Bairro 2410,40130,10,1615,37
Bairro 2411,12755,6,866,106
Bairro 2412,10391,3,1353,128
Bairro 2413,42241,8,973,47
Bairro 2414,51445,10,879,84
Bairro 2415,26599,7,1305,79
Bairro 2416,54493,3,936,133
Bairro 2417,12579,2,1977,49
Bairro 2418,17199,10,2805,149
Bairro 2419,28321,9,1883,103
Bairro 2420,12501,9,559,99
Bairro 2421,53595,10,2036,142
Bairro 2422,22773,2,1067,99
Bairro 2423,22669,6,1225,121
Bairro 2424,55279,2,1053,39
Bairro 2425,30376,8,1199,139
Bairro 2426,26797,6,1067,76
Bairro 2427,11880,1,1777,141
Bairro 2428,28206,9,2733,118
Bairro 2429,38482,1,2710,140
Bairro 2430,14650,8,1579,67
Bairro 2431,55055,1,773,129
Bairro 2432,54971,5,1304,36
Bairro 2433,21533,5,1958,36
Bairro 2434,11098,7,2814,112
Bairro 2435,40346,2,2790,78
Bairro 2436,41452,6,1131,122
Bairro 2437,18292,2,2044,121
Bairro 2438,53200,1,2308,95
Bairro 2439,17142,3,2488,100
Bairro 2440,44962,6,655,41
Bairro 2441,31196,7,881,34
Bairro 2442,27216,3,2036,51
Bairro 2443,29171,1,640,67
Bairro 2444,17989,4,510,62
Bairro 2445,23544,6,747,139
Bairro 2446,20982,8,500,36
Bairro 2447,24138,10,2536,22
Bairro 2448,54434,8,2578,116
Bairro 2449,24881,3,756,145
Bairro 2450,48801,4,2114,91
Bairro 2451,43444,3,1541,33
Bairro 2452,53780,6,1483,85
Bairro 2453,45110,5,2336,63
Bairro 2454,6491,4,2346,133
Bairro 2455,21677,6,1983,42
Bairro 2456,37984,6,1088,81
Bairro 2457,15127,9,1517,86
Bairro 2458,31761,8,1741,101
Bairro 2459,44197,3,1144,98
Bairro 2460,34578,4,2584,134
Bairro 2461,41249,10,852,51
Bairro 2462,5608,9,2282,147
Bairro 2463,4856,8,2880,68
Bairro 2464,24003,9,1102,43
Bairro 2465,26923,9,2114,135
Bairro 2466,26854,10,1032,109
Bairro 2467,57178,3,2357,137
Bairro 2468,46747,9,775,94
Bairro 2469,26911,7,2506,122
Bairro 2470,58664,10,1814,121
Bairro 2471,58701,5,1352,77
Bairro 2472,51987,10,1242,143
Bairro 2473,34312,6,1027,146
Bairro 2474,27369,8,1825,52
Bairro 2475,52988,1,1856,73
Bairro 2476,53604,9,2179,39
Bairro 2477,48799,2,708,22
Bairro 2478,24788,6,2303,49
Bairro 2479,31924,9,2588,90
Bairro 2480,19427,5,1914,131
Bairro 2481,14465,2,973,39
Bairro 2482,57674,7,1809,38
Bairro 2483,29062,5,1490,141
Bairro 2484,24349,1,1377,95
Bairro 2485,55536,2,2406,133
Bairro 2486,45750,3,1591,26
Bairro 2487,35310,4,2866,53
Bairro 2488,22714,1,2945,110
Bairro 2489,51591,4,1373,60
Bairro 2490,13542,9,1628,36
Bairro 2491,20152,8,2328,37
Bairro 2492,59181,9,1597,111
Bairro 2493,53006,1,1519,86
Bairro 2494,45293,10,1842,87
Bairro 2495,31716,2,695,33
Bairro 2496,15796,7,796,144
Bairro 2497,31977,9,1593,98
Bairro 2498,37403,9,1770,70
Bairro 2499,13825,7,1458,96
Bairro 2500,46597,4,2308,117
Bairro 2501,14346,2,2070,63
Bairro 2502,27868,5,1486,29
Bairro 2503,10474,9,805,46
Bairro 2504,9019,5,905,133
Bairro 2505,13369,4,502,26
Bairro 2506,8532,9,2756,45
Bairro 2507,25332,1,969,69
Bairro 2508,32727,7,856,72
Bairro 2509,23699,7,987,82
Bairro 2510,28077,3,2329,78
Bairro 2511,23108,1,2174,105
Bairro 2512,28336,8,1697,46
Bairro 2513,10678,9,684,70
Bairro 2514,18015,7,2786,142
Bairro 2515,58313,3,1813,64
Bairro 2516,12696,8,1593,58
Bairro 2517,12208,5,2500,102
Bairro 2518,41818,7,1539,60
Bairro 2519,22348,6,2746,147
Bairro 2520,25017,7,882,69
Bairro 2521,41815,2,505,116
Bairro 2522,34993,1,1203,109
Bairro 2523,57857,7,1906,64
Bairro 2524,53696,8,1737,94
Bairro 2525,36205,7,2764,102
Bairro 2526,16365,7,2429,75
Bairro 2527,7559,1,1561,96
Bairro 2528,18365,4,1136,85
Bairro 2529,24234,7,2371,57
Bairro 2530,56100,10,2156,47
Bairro 2531,52559,6,662,102
Bairro 2532,58526,10,2025,60
Bairro 2533,52362,9,2138,92
Bairro 2534,20494,8,1330,72
Bairro 2535,33058,10,920,57
Bairro 2536,39403,6,2942,92
Bairro 2537,30326,1,1385,124
Bairro 2538,44362,3,1977,52
Bairro 2539,37008,3,975,122
Bairro 2540,42901,10,1358,113
Bairro 2541,32131,8,2883,98
Bairro 2542,5936,5,827,35
Bairro 2543,48064,8,2072,123
Bairro 2544,45893,1,1123,53
Bairro 2545,7396,7,1761,22
Bairro 2546,58515,5,2319,96
Bairro 2547,22930,9,2076,35
Bairro 2548,38658,4,1341,97
Bairro 2549,16134,2,2044,20
Bairro 2550,35507,5,869,30
Bairro 2551,25411,3,1448,70
Bairro 2552,10278,3,1499,115
Bairro 2553,46972,5,1239,67
Bairro 2554,18616,4,1402,31
Bairro 2555,32610,7,563,43
Bairro 2556,47856,6,1894,114
Bairro 2557,39570,3,1504,80
Bairro 2558,21748,6,2931,133
Bairro 2559,23421,6,770,61
Bairro 2560,13956,3,886,96
Bairro 2561,8798,2,729,56
Bairro 2562,35396,10,556,24
Bairro 2563,20837,5,2684,128
Bairro 2564,17122,3,1428,25
Bairro 2565,49636,5,558,31
Bairro 2566,10443,8,1823,48
Bairro 2567,42806,7,2815,65
Bairro 2568,44466,7,2538,113
Bairro 2569,38687,3,704,107
Bairro 2570,8012,5,2362,40
Bairro 2571,31910,3,1436,55
Bairro 2572,15969,7,1414,68
Bairro 2573,54772,4,1468,137
Bairro 2574,53343,10,1747,129
Bairro 2575,56952,3,1737,104
Bairro 2576,22323,9,1104,49
Bairro 2577,45175,1,2958,82
Bairro 2578,5880,6,2224,45
Bairro 2579,53122,9,2473,64
Bairro 2580,58101,5,542,102
Bairro 2581,7777,9,1971,60
Bairro 2582,4103,9,2302,116
Bairro 2583,49622,3,1889,103
Bairro 2584,6919,8,2465,22
Bairro 2585,33891,7,1234,68
Bairro 2586,15642,3,664,149
Bairro 2587,32794,1,2909,70
Bairro 2588,34216,6,1473,144
Bairro 2589,32487,5,2346,109
Bairro 2590,53026,5,2414,102
Bairro 2591,55728,4,2234,126
Bairro 2592,7811,10,1756,99
Bairro 2593,24126,1,1815,55
Bairro 2594,22461,4,1121,58
Bairro 2595,19941,10,2334,75
Bairro 2596,18851,6,1896,51
Bairro 2597,32556,4,1574,149
Bairro 2598,31322,8,1847,59
Bairro 2599,11177,5,2310,28
Bairro 2600,55059,6,2824,82
Bairro 2601,38877,8,953,100
Bairro 2602,51455,2,1829,49
Bairro 2603,51746,1,2395,103
Bairro 2604,7571,7,2633,114
Bairro 2605,4110,8,968,110
Bairro 2606,5663,7,1357,135
Bairro 2607,29755,6,2966,65
Bairro 2608,14372,9,2945,99
Bairro 2609,9219,4,983,56
Bairro 2610,30328,6,2519,138
Bairro 2611,53295,4,1942,76
Bairro 2612,41519,4,574,88
Bairro 2613,43272,3,1151,67
Bairro 2614,39483,6,1948,37
Bairro 2615,21985,4,2338,55
Bairro 2616,38912,3,721,125
Bairro 2617,7869,9,1567,50
Bairro 2618,54898,10,1047,118
Bairro 2619,17361,3,1322,114
Bairro 2620,52573,7,2513,98
Bairro 2621,35661,5,1115,124
Bairro 2622,45194,3,2808,135
Bairro 2623,50219,3,536,103
Bairro 2624,30585,9,716,100
Bairro 2625,44990,4,2534,92
Bairro 2626,11639,2,551,86
Bairro 2627,33794,9,2938,100
Bairro 2628,14292,3,2021,111
Bairro 2629,54059,2,1293,48
Bairro 2630,31108,6,1961,69
Bairro 2631,41143,6,1847,33
Bairro 2632,21787,3,995,20
Bairro 2633,55766,1,1242,147
Bairro 2634,35792,4,2311,117
Bairro 2635,37720,9,1429,90
Bairro 2636,6230,5,1981,25
Bairro 2637,28267,3,989,130
Bairro 2638,10860,9,2818,141
Bairro 2639,30905,10,2467,132
Bairro 2640,45453,9,2396,91
Bairro 2641,13416,6,1366,70
Bairro 2642,54867,1,1866,36
Bairro 2643,46836,3,1324,61
Bairro 2644,26507,6,1324,27
Bairro 2645,39251,5,600,65
Bairro 2646,27822,6,2503,127
Bairro 2647,27084,9,2711,46
Bairro 2648,10835,7,1882,137
Bairro 2649,51877,7,2665,130
Bairro 2650,22541,10,2597,141
Bairro 2651,37027,4,1239,124
Bairro 2652,16807,6,1007,82
Bairro 2653,11615,10,790,72
Bairro 2654,36540,6,940,119
Bairro 2655,18471,7,1994,25
Bairro 2656,43552,2,2257,118
Bairro 2657,38098,7,2420,98
Bairro 2658,59345,9,1868,85
Bairro 2659,42792,7,1324,82
Bairro 2660,46892,6,1172,65
Bairro 2661,30509,10,1113,52
Bairro 2662,51976,1,2327,22
Bairro 2663,48353,7,1638,148
Bairro 2664,29472,5,2535,119
Bairro 2665,53142,5,2650,118
Bairro 2666,15342,10,1337,95
Bairro 2667,24057,8,2253,82
Bairro 2668,21117,8,1143,33
Bairro 2669,7789,1,1541,74
Bairro 2670,23067,7,2436,141
Bairro 2671,23367,2,1057,35
Bairro 2672,14597,4,2260,107
Bairro 2673,20799,3,1941,40
Bairro 2674,7719,9,1460,110
Bairro 2675,53326,3,1195,119
Bairro 2676,10644,6,840,143
Bairro 2677,13460,9,2836,63
Bairro 2678,49018,4,2469,147
Bairro 2679,46394,8,1809,115
Bairro 2680,56239,7,2356,27
Bairro 2681,37116,4,1910,103
Bairro 2682,54219,4,1810,27
Bairro 2683,22044,2,2146,125
Bairro 2684,30057,9,1102,51
Bairro 2685,54389,3,874,42
Bairro 2686,5833,7,1734,51
Bairro 2687,30057,1,507,57
Bairro 2688,7596,10,2599,98
Bairro 2689,13170,5,1745,103
Bairro 2690,6997,1,706,81
Bairro 2691,58583,8,1304,40
Bairro 2692,27687,8,1736,67
Bairro 2693,20776,1,711,34
Bairro 2694,16532,6,2543,87
Bairro 2695,46950,5,730,149
Bairro 2696,29656,7,2165,113
Bairro 2697,42593,4,808,31
Bairro 2698,4889,5,1082,34
Bairro 2699,43110,3,1093,36
Bairro 2700,6811,8,1045,28
Bairro 2701,38165,10,2562,139
Bairro 2702,44320,3,2446,138
Bairro 2703,41233,2,2010,142
Bairro 2704,19671,8,1511,82
Bairro 2705,39881,4,2658,32
Bairro 2706,58545,9,1455,90
Bairro 2707,27787,1,1787,93
Bairro 2708,57367,9,734,119
Bairro 2709,31742,6,1073,70
Bairro 2710,14599,3,1184,83
Bairro 2711,15084,6,1331,109
Bairro 2712,51533,10,866,108
Bairro 2713,6557,9,2226,102
Bairro 2714,51339,4,1234,115
Bairro 2715,35107,1,1969,32
Bairro 2716,7410,9,2181,99
Bairro 2717,23405,6,1504,115
Bairro 2718,17499,7,1877,89
Bairro 2719,40176,10,797,70
Bairro 2720,25113,3,1083,100
Bairro 2721,15499,5,866,72
Bairro 2722,16068,4,2987,57
Bairro 2723,17677,7,2015,38
Bairro 2724,48688,4,2474,118
Bairro 2725,36799,9,2953,124
Bairro 2726,28288,6,2411,28
Bairro 2727,13229,7,908,70
Bairro 2728,16675,1,2598,133
Bairro 2729,56510,7,2348,90
Bairro 2730,11043,3,1285,51
Bairro 2731,34875,9,2470,53
Bairro 2732,13613,2,2317,134
Bairro 2733,4532,8,1638,109
Bairro 2734,15359,6,2462,32
Bairro 2735,24449,10,2854,146
Bairro 2736,29260,1,739,110
Bairro 2737,24160,3,1642,28
Bairro 2738,15012,2,2960,62
Bairro 2739,16654,2,2049,57
Bairro 2740,6692,3,1004,23
Bairro 2741,6345,5,1948,65
Bairro 2742,14554,9,2873,148
Bairro 2743,31899,8,1198,115
Bairro 2744,11325,10,538,28
Bairro 2745,28832,10,1725,112
Bairro 2746,6121,3,2823,127
Bairro 2747,49913,9,2692,25
Bairro 2748,53158,8,2463,121
Bairro 2749,23525,8,2388,119
Bairro 2750,27990,8,882,91
Bairro 2751,48647,8,1615,124
Bairro 2752,54542,3,843,41
Bairro 2753,45975,2,998,106
Bairro 2754,21832,3,1156,134
Bairro 2755,6374,7,1680,73
Bairro 2756,8839,4,2056,98
Bairro 2757,50993,6,1159,30
Bairro 2758,17985,6,907,131
Bairro 2759,7356,2,1598,30
Bairro 2760,9906,10,2284,39
Bairro 2761,49632,9,2179,88
Bairro 2762,12574,5,901,83
Bairro 2763,45001,7,2571,61
Bairro 2764,26888,7,1725,147
Bairro 2765,7234,6,2844,38
Bairro 2766,52271,10,2551,137
Bairro 2767,29801,8,685,54
Bairro 2768,28153,8,2508,44
Bairro 2769,58575,4,1926,86
Bairro 2770,13221,1,2240,65
Bairro 2771,23999,1,2857,82
Bairro 2772,16691,2,2681,53
Bairro 2773,50247,10,1365,108
Bairro 2774,34253,6,713,54
Bairro 2775,38767,9,742,54
Bairro 2776,22401,6,1331,132
Bairro 2777,44057,7,2086,77
Bairro 2778,58502,6,1001,97
Bairro 2779,58299,1,2154,143
Bairro 2780,17292,8,768,127
Bairro 2781,52865,3,1643,23
Bairro 2782,7824,5,1610,89
Bairro 2783,45790,1,694,138
Bairro 2784,14165,3,2914,61
Bairro 2785,44812,5,1585,70
Bairro 2786,50686,9,2027,35
Bairro 2787,29263,5,1230,45
Bairro 2788,30272,1,2818,29
Bairro 2789,41513,5,1315,33
Bairro 2790,53162,4,1765,118
Bairro 2791,8656,9,857,129
Bairro 2792,28803,7,2710,101
Bairro 2793,21617,7,571,122
Bairro 2794,29161,8,2629,123
Bairro 2795,48169,8,1061,37
Bairro 2796,11003,3,1980,65
Bairro 2797,27133,2,2685,69
Bairro 2798,31634,5,2473,67
Bairro 2799,52121,2,2545,27
Bairro 2800,38101,3,585,40
Bairro 2801,19150,8,2011,118
Bairro 2802,36682,2,1378,64
Bairro 2803,51415,6,2385,54
Bairro 2804,35515,9,2945,107
Bairro 2805,43470,1,980,61
Bairro 2806,47965,6,2240,122
Bairro 2807,37249,8,797,123
Bairro 2808,15764,4,2432,77
Bairro 2809,9385,4,1903,30
Bairro 2810,41657,4,1182,78
Bairro 2811,30921,7,1849,80
Bairro 2812,55792,3,1927,31
Bairro 2813,51961,5,1051,119
Bairro 2814,36222,9,1696,126
Bairro 2815,25693,10,2170,77
Bairro 2816,49959,9,2707,130
Bairro 2817,7366,10,2828,75
Bairro 2818,19994,10,1565,99
Bairro 2819,49414,10,1002,146
Bairro 2820,21746,10,913,27
Bairro 2821,24362,2,1120,145
Bairro 2822,24794,1,1378,138
Bairro 2823,36698,4,2961,118
Bairro 2824,44371,8,1619,46
Bairro 2825,56156,1,853,82
Bairro 2826,21499,3,1080,41
Bairro 2827,38233,3,2339,147
Bairro 2828,35971,6,810,96
Bairro 2829,22032,3,2773,116
Bairro 2830,43567,4,2098,95
Bairro 2831,36010,8,2128,130
Bairro 2832,51290,10,1230,131
Bairro 2833,26736,9,1569,50
Bairro 2834,37116,9,1011,62
Bairro 2835,48563,7,2087,114
Bairro 2836,15932,9,1165,133
Bairro 2837,59452,7,2979,130
Bairro 2838,29158,10,1878,106
Bairro 2839,26859,2,622,72
Bairro 2840,17031,7,1083,101
Bairro 2841,21561,2,1565,131
Bairro 2842,22649,6,1276,86
Bairro 2843,24976,3,1344,44
Bairro 2844,30880,8,1900,139
Bairro 2845,30640,6,549,48
Bairro 2846,6418,6,2491,62
Bairro 2847,10044,1,1445,101
Bairro 2848,33276,8,1616,40
Bairro 2849,4272,2,1729,126
Bairro 2850,7774,3,2105,103
Bairro 2851,17790,2,1894,144
Bairro 2852,59398,9,1612,129
Bairro 2853,31791,2,1962,109
Bairro 2854,13671,2,1938,148
Bairro 2855,23321,1,1872,76
Bairro 2856,52267,2,2579,96
Bairro 2857,8363,5,2820,31
Bairro 2858,55811,10,1210,98
Bairro 2859,35363,2,1737,113
Bairro 2860,55415,9,2472,137
Bairro 2861,40744,6,2261,63
Bairro 2862,53084,9,688,63
Bairro 2863,58566,5,900,100
Bairro 2864,37959,9,1554,120
Bairro 2865,45209,5,995,54
Bairro 2866,39585,9,1369,135
Bairro 2867,53068,4,1974,52
Bairro 2868,33628,5,2391,115
Bairro 2869,18433,7,559,110
Bairro 2870,31979,3,2490,108
Bairro 2871,4773,4,549,61
Bairro 2872,26760,1,588,133
Bairro 2873,34303,7,650,101
Bairro 2874,41191,5,2659,115
Bairro 2875,33792,4,1129,21
Bairro 2876,9416,8,1196,128
Bairro 2877,11676,2,1220,68
Bairro 2878,53407,4,1604,28
Bairro 2879,40131,6,2592,147
Bairro 2880,27989,1,2646,139
Bairro 2881,23754,5,963,85
Bairro 2882,57010,3,1779,146
Bairro 2883,51965,2,766,108
Bairro 2884,49394,7,2581,122
Bairro 2885,4286,10,2750,98
Bairro 2886,59359,10,711,96
Bairro 2887,23112,1,1226,78
Bairro 2888,32301,8,2856,48
Bairro 2889,18475,9,1525,101
Bairro 2890,39522,3,982,107
Bairro 2891,16792,4,1875,64
Bairro 2892,36428,9,1520,78
Bairro 2893,41502,2,2163,38
Bairro 2894,6960,8,2412,57
Bairro 2895,17002,5,595,47
Bairro 2896,45581,1,2558,54
Bairro 2897,19390,4,514,108
Bairro 2898,34495,10,1369,85
Bairro 2899,33309,10,1529,54
Bairro 2900,52043,2,863,124
Bairro 2901,10662,9,825,79
Bairro 2902,50154,2,2864,112
Bairro 2903,20315,6,2686,81
Bairro 2904,44840,10,1619,29
Bairro 2905,16773,10,2525,94
Bairro 2906,54592,4,2270,91
Bairro 2907,5284,4,805,74
Bairro 2908,29940,1,1453,79
Bairro 2909,50114,9,2172,145
Bairro 2910,14930,9,2482,55
Bairro 2911,37337,6,867,62
Bairro 2912,27149,6,2242,86
Bairro 2913,50114,10,2285,123
Bairro 2914,19491,3,2437,148
Bairro 2915,50060,3,2478,105
Bairro 2916,54082,4,2942,69
Bairro 2917,52329,10,643,65
Bairro 2918,39664,4,2693,135
Bairro 2919,10290,3,1836,59
Bairro 2920,13499,9,785,32
Bairro 2921,43010,2,2497,81
Bairro 2922,37224,2,2987,73
Bairro 2923,35233,3,2913,74
Bairro 2924,27429,8,2448,85
Bairro 2925,21138,9,1708,84
Bairro 2926,58948,9,1050,47
Bairro 2927,38469,7,1950,51
Bairro 2928,27062,7,1818,20
Bairro 2929,11421,10,1042,128
Bairro 2930,55093,1,1876,138
Bairro 2931,37669,7,2028,46
Bairro 2932,51562,1,1338,41
Bairro 2933,20707,1,1650,128
Bairro 2934,45192,3,2022,146
Bairro 2935,8274,9,1885,34
Bairro 2936,40929,7,835,148
Bairro 2937,54311,9,2798,23
Bairro 2938,46611,10,718,59
Bairro 2939,22519,1,2017,119
Bairro 2940,43208,10,532,129
Bairro 2941,46114,6,1821,88
Bairro 2942,44708,1,1754,145
Bairro 2943,32588,6,2131,146
Bairro 2944,4743,3,1142,33
Bairro 2945,31943,1,2103,69
Bairro 2946,5837,7,2582,104
Bairro 2947,8520,2,792,64
Bairro 2948,55142,1,1828,46
Bairro 2949,42543,4,2838,137
Bairro 2950,46940,3,1765,21
Bairro 2951,5694,3,607,21
Bairro 2952,50046,3,2245,123
Bairro 2953,51854,8,1084,95
Bairro 2954,35423,8,1931,52
Bairro 2955,58075,4,687,87
Bairro 2956,31181,9,1415,108
Bairro 2957,38730,8,1465,123
Bairro 2958,17147,1,968,61
Bairro 2959,25300,1,1332,67
Bairro 2960,30808,3,2592,22
Bairro 2961,31999,5,1386,95
Bairro 2962,53654,1,2704,28
Bairro 2963,36525,9,1372,105
Bairro 2964,17672,8,2768,74
Bairro 2965,43275,7,2760,63
Bairro 2966,24715,6,1053,34
Bairro 2967,39679,1,2482,65
Bairro 2968,41974,10,1030,78
